"","FTHG","FTAG","HTHG","HTAG","HS","AS","HST","AST","HF","AF","HC","AC","HY","AY","HR","AR"
"Min.",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"1st Qu.",1,0,0,0,10,8,3,2,8,8,4,3,1,1,0,0
"Median",1,1,0,0,13,11,5,4,10,11,5,4,1,2,0,0
"Mean",1.52850613423142,1.20784219388982,0.685831128217465,0.537406783738273,14.0079384171277,11.3658888621602,5.28217464517681,4.33870579745008,10.5034880923743,10.8383449603079,5.87130141929276,4.73779167668992,1.52850613423142,1.7440461871542,0.0560500360837142,0.0755352417608853
"3rd Qu.",2,2,1,1,17,14,7,6,13,13,8,6,2,3,0,0
"Max.",9,9,5,5,43,31,24,20,24,26,19,19,7,9,2,2
